[admin.py:29] - 2023-09-05 00:11:38,890 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-09-05 00:11:38,890 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-09-05 00:11:39,121 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\Rob\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe', 'C:\\Users\\Rob\\Downloads\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2023-09-05 00:11:39,121 - INFO - Running command 'C:\\Users\\Rob\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe' - 'C:\\Users\\Rob\\Downloads\\Luna-Grabber-main\\builder.pyw'
[admin.py:29] - 2023-09-05 00:11:48,005 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,409 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,409 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,409 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,409 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,409 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,409 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,409 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,409 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,409 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,409 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,413 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,413 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,413 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,413 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,413 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,413 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,413 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,413 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,413 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,413 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,413 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,413 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,413 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:190] - 2023-09-05 00:11:49,413 - DEBUG - STREAM b'IDAT' 91 1063
[connectionpool.py:812] - 2023-09-05 00:11:58,094 - DEBUG - Starting new HTTPS connection (1): discord.com:443
[connectionpool.py:391] - 2023-09-05 00:11:58,503 - DEBUG - https://discord.com:443 "GET /api/webhooks/1148394807912300634/AzZ1XiPnj2V-R5Lq8a3AW5ORv4sg984PWzbsL8XR3Vb0ySeXwTwSwoNU63WCliNkYJgj HTTP/1.1" 200 None
[builder.pyw:425] - 2023-09-05 00:12:53,940 - INFO - Retrieved filename: test
[builder.pyw:391] - 2023-09-05 00:12:53,940 - INFO - Changed filetype: .py
